GSE50509,GSE91061,GSE50509|GSE91061
ACTL6B,ARHGAP30,DPH7
KIF13B,SLC12A3,BAZ1B
TGM2,TMC8,WIPI2
ILF3-DT,CARD11,SEC16A
ATP6V1E2,C16orf54,RABL2B
MIR124-2HG,CD180,PVRIG
MIR339,CD6,TBC1D10C
CASTOR1,VAV3-AS1,TRMT10B
ABCG1,FCER2,EEIG1
TTR,RAB37,SDHAP3
YPEL1,LINC00487,RAB11FIP1
MTMR11,PLD4,S1PR4
AIG1,PCED1B,PRKX
KCNIP1,EAF2,HTT
RPL13AP5,CD27,DUSP28
DTL,ELL3,RBM4B
FOXO4,CD247,PAOX
DNAJB5,TRAC,RCSD1
TEF,TNFAIP8,UBAC2
SMIM11,CRIP3,RPL37
SYCE1,CCL21,YY1
DCTN3,DAPP1,BRD3OS
AFDN-DT,RASAL3,PBXIP1
GID8,CD48,THAP11
MRAP2,DEF6,ELL
KRTAP12-4,PARP15,RALGPS2
LGI3,HSH2D,USP21
GNAO1,CDC42SE2,SPSB3
TMEM225,ARHGAP9,PRR14
PAQR6,LINC00861,ZC3H4
CMTM8,DENND1C,TMPO
NAALADL1,ARHGDIB,CASC3
FOXD3,CD3E,HMGN2
C2orf76,CCR7,DAZAP1
MRPL18,CBFA2T3,ZNF585A
NIM1K,GPR132,TESK1
COMMD6,FCAMR,SP2
TFAP2C,SIT1,TMEM63A
RPL39,TRAT1,MED30
CDK18,NUAK2,RPL18
H4C16,ZBTB32,GZMM
NSFL1C,PLEKHG7,TSPYL1
CYGB,CD1C,GTF2F1
CSNK1E,SPOCK2,LRR1
EHD3,IL2RG,TBP
ACRV1,BIRC3,ST6GALNAC4
TEAD1,CD5,PPTC7
TBX3,TCF7,KRI1
LRRC8A,LINGO3,HNRNPM
PARP8,FUT7,ZNF792
DKC1,LINC00996,ASB16
SMOC2,ARHGAP45,NCBP3
DDB1,MIR142,SURF1
POMC,CD96,LNPEP
MIR107,IL7R,FBXL12
ACTN1,RASSF5,DEDD
SIGLEC8,EVL,SRPK1
GPRC5B,GRK2,INPP5E
DYNLRB1,ARMH1,ZBTB22
SLC9A3-OT1,GMIP,VPS51
LINC02897,ITK,SMG9
PIAS3,SLA2,RPS11
MALL,SNX20,ZNF815P
ATP5F1E,SCN3A,MAP3K14
SLC16A2,PACSIN1,SLC25A42
MRGPRF,CD28,RASGRP2
DNAJC14,STK17B,DOLPP1
SIGLEC10,ICAM3,DNMT1
ALDH1B1,LAT2,ARHGEF18
HSPA9,JAK3,
CLSTN2,NAPSB,
RIPK1,MFNG,
CYFIP1,TXK,
PPP2R5B,WAS,
PHLPP1,CYTH1,
PLA2G6,ARHGAP27,
SLC35E3,CLEC9A,
SLC35D2,CLEC2D,
CNKSR3,ALPK2,
TCF20,ARRDC5,
GMNN,PTPN7,
PHF24,IL21R,
TMEM25,LOC100130298,
PLEKHB1,ZNF831,
CYP2D7,TNF,
ST6GAL1,KEL,
RALGDS,DOCK8,
CRSP8P,THEMIS,
CTIF,CSK,
PCGF2,HTR3A,
RGP1,CLEC4C,
SMARCC2,STAT4,
MNT,RASGRP1,
KRTAP5-10,PSD4,
LZTS3,ZNF107,
CDC7,SERPINA9,
GLIPR2,PIK3C2B,
PDE8B,ARHGAP25,
SCD5,CCDC88B,
TAF13,CRLF3,
CBY1,MYO1G,
SLC2A9,SSTR3,
ZFP92,NCKAP1L,
CPNE1,SIRPG,
MTMR3,DENND2D,
PTCH1,ITGB7,
IFT140,CD72,
AMER2,FGD3,
TTC31,DOCK2,
TBC1D20,SEMA4D,
MTHFD1,LILRA4,
RDH11,UBASH3A,
SRARP,IGHM,
PCBP4,DCK,
BOC,CYSLTR1,
LRTOMT,CD3D,
ADIPOR1,PLAC8,
MYL9,TMIGD2,
ZNRF3,PRKD2,
DGCR2,KRT72,
MANBAL,DGKA,
HIC2,ITGAL,
ASB6,NPHS1,
SCN3B,SIPA1,
AURKA,PARVG,
LINC01278,MOB3A,
GDI1,SIDT1,
UQCC1,COL4A3,
MIR483,ANXA2R,
DHX35,FAM117A,
ANKH,CCDC69,
IGF2R,SCIMP,
OPLAH,ECE1-AS1,
PPP1R3D,CNOT6L,
BUB1B,SH2D3C,
TYMS,RNF44,
MAP3K11,RAC2,
TRIM8,FGD2,
ZER1,BCL11B,
MAMDC4,GP1BA,
ERO1A,ARL11,
MLH1,NELL2,
MTAP,PASK,
CLN8,SYK,
EPHA8,SNX29P1,
ACTRT1,MDS2,
HSPA1L,PTPRC,
WWC2,LYL1,
PRELP,SYTL1,
IFT52,ANKRD13A,
LIME1,HMSD,
MARCHF4,SPNS3,
HOOK1,SERPINB9P1,
PDK3,C11orf21,
LZTR1,TRANK1,
PPDPF,CIITA,
OR4N2,RBM38,
POLR3H,IL4R,
HDAC5,SH2D1A,
ZWINT,AGAP2,
MIR545,ICOS,
LYPD5,TIGIT,
ATAD5,TERF2,
FAHD2B,ILDR1,
SOX7,CYLD,
HINT3,CD8B,
SFT2D1,GIMAP7,
C6,IPCEF1,
NACC2,TNFAIP8L2,
PEA15,ITGB2-AS1,
DNAAF9,FLI1,
TRIP10,IKBKE,
PRKACA,KCNA3,
VWCE,ZNF296,
RBPMS,RAPGEF6,
ARIH2OS,FAM216B,
OR52E2,LIMD2,
AGPAT1,CHMP7,
TAFA1,TTC24,
SELENOH,STRBP,
RPL27,CD52,
HSPA4,EMB,
MIR1471,RIPOR2,
TRIM64C,SLC15A2,
TRIM35,NLRC5,
TTTY1B,CNTRL,
CLCN6,NCOA3,
RNF122,BFSP2,
BCR,CD40,
TWIST1,MAST3,
TRIM32,BIN2,
ZNF812P,TRAV9-2,
IDH3A,CYTIP,
DPH6,GRK6,
ATP4B,TIFA,
CACNA2D2,PRKCB,
KCNIP2-AS1,NLRP1,
ZNF133,CEACAM21,
TBC1D13,CLUHP3,
LMF1,FMNL1,
PLD5,NRF1,
ELMO2,LINC00954,
CISD2,RFTN1,
MROH8,SIGLEC6,
GAB2,ARHGEF1,
CNTN3,IRF2,
NAIF1,RESF1,
ABHD4,LBH,
CAMKMT,STK4,
NDRG1,MAP4K2,
FBXL19-AS1,TNFRSF25,
TBX19,UIMC1,
CTPS1,CD2,
IGKV1ORY-1,RASSF2,
MCM3,DUS2,
RTL6,FLT3LG,
TOR1B,LY75,
ALG1L1P,RABGAP1L,
AIFM3,LPAR5,
RUFY2,TLR6,
SEMA4B,NEK8,
TAB1,FLT3,
SETD5,TASL,
LPAR4,CARD8-AS1,
ZHX3,STEAP1B-AS1,
POTEC,GNGT2,
LINGO2,IL22RA2,
MIRLET7F1,MBD4,
SMCR8,CCR4,
RNF180,CD69,
LRPPRC,ST8SIA4,
IQCK,TNFRSF9,
SHB,CEPT1,
PARD3B,ITSN2,
RELN,CCNG2,
DACT3,SAMD3,
GJC2,NFKB1,
CACNG4,PDE7A,
CIMAP2,RELB,
ABCC12,ALOX15P1,
PABPC1L,C1orf220,
ADA2,EBLN3P,
GAREM1,PTPN22,
BBLN,FCHSD2,
CHEK1,KIF21B,
PTGDR2,SPIC,
TBX22,MYO7B,
CYP26A1,RBL2,
CNGA1,COLQ,
GCNT2,NCF1B,
MSMP,LINC01550,
NCOA6,ARHGAP4,
METTL2A,CYBC1,
LINC00485,ZNF675,
SNX12,RABEP2,
IFNL2,DDX6,
HTATSF1P2,IL12RB1,
MYRF,SELPLG,
MID2,GRAP2,
ARHGAP1,ZNF708,
NRXN1,ZBTB14,
SH3BGRL2,DNAH1,
SNTG1,S1PR1,
CSRP1,WNT10A,
OR4C3,TMEM150C,
EPB41L4A,SH2B2,
WNT11,DBNL,
AFAP1L2,ZNF586,
SNORD113-3,SYNRG,
CDC25C,FOXP3,
SLC5A11,CCL19,
RUSC2,NDST2,
ODF2,ZNF721,
MAP2,ACHE,
CIMAP1B,EDAR,
AP2M1,LAX1,
STK24,FLOT2,
SLC25A24,MSL3,
ZBTB4,ATOSA,
GNAQ,USP20,
TNPO1,EPC1,
KRTAP10-9,VAV1,
AAR2,DENND4A,
MID1IP1,APBB1IP,
SOX2,CXCR3,
SNORA7B,REL,
ZNFX1,RGL4,
WDR97,IL7,
MVB12B,DCANP1,
MTFR1L,NFATC3,
WDHD1,CTC1,
TSPAN7,PHF12,
SPAG5,GIMAP2,
RHNO1,PCDHAC2,
SBSPON,LINC01547,
FER1L4,MED28,
AKR1C2,RGS14,
XYLT1,CYRIA,
ZSCAN12P1,TRAV13-2,
SNORD111B,TBX21,
SYT11,SPINK2,
RPS26,SMIM14,
TDRD10,SP4,
HELLS,ICAM2,
ZNF677,YTHDC1,
MAPRE3,PLA2G2D,
TMC5,GPSM3,
EPHX2,INPP4A,
SDF2,DOK3,
DEPDC1,ZNF737,
MIRLET7BHG,NUGGC,
PSMC1,RAB8A,
MRPL23-AS1,CRTAM,
SNX32,UICLM,
CCDC166,USP44,
NAT9,NCF1C,
RARG,MYCL,
BEX2,XCR1,
RRP1B,SELL,
SEC14L1,UCP2,
MOSPD3,LGALS2,
ABAT,MOB1A,
OR4N3P,IL27RA,
PLEKHH2,ZFAT,
MIRLET7C,HDAC9,
ASXL1,ZNF154,
BLTP3A,ARHGAP17,
PNMA8B,TFEB,
LRRC27,PPP2R5C,
GALNT10,DGKZ,
FH,RAB39B,
COPG2IT1,TMED8,
ABCF1,OFD1,
DVL3,TADA2B,
WARS1,IL21,
EWSAT1,MTRFR,
ODAD4,ANKRD49,
TMT1A,EPB41,
LMO3,HMGB2,
CTDSPL,MIR548AN,
ENO1,ZNF80,
DCAF11,PCF11,
SNHG7,GPR183,
MSRA,RUBCNL,
SHOX2,TOX2,
MAP1LC3C,GIMAP1,
KCTD15,RGS19,
IGFBP7,ZCCHC7,
ZNF575,EHMT1,
PRR11,PSTPIP1,
PCED1A,TIFAB,
CLEC12A,ZSCAN32,
MXRA7,UNC13D,
PWWP3A,ZNF276,
TFAP2B,ZNF14,
NUP50,RNF4,
MCM6,LOC100652768,
LRSAM1,KLF2,
TOP3B,ZBTB18,
GLI4,CETP,
EFL1,CLK4,
EEF1G,KDM4B,
TADA3,HELQ,
DTX3,MORN3,
CD27-AS1,SLC25A45,
KIZ,HMCES,
CHMP5,SCT,
NOL12,EVI2B,
ENKD1,LINC00324,
NUCKS1,LRRK1,
C14orf132,SHISA3,
IRS2,ZBTB25,
,TRAF3,
,ZNF141,
,GPR174,
,ORAI2,
,TDP1,
,LINC00494,
,NCF1,
,CCDC18,
,TMEM273,
,SEL1L3,
,CUTALP,
,SENP7,
,RPS6KA1,
,MTMR1,
,SOCS1,
,FBRS,
,MKNK2,
,TRIM22,
,VOPP1,
,POLD4,
,FRAT1,
,LBR,
,KLHL6,
,ZNF821,
,GGA2,
,TMEM243,
,P2RY14,
,LINC02591,
,QRSL1,
,IL10RA,
,RAMP3,
,CARINH,
,NFATC1,
,PLEKHA2,
,PPP1R9B,
,PACS1,
,RBM15,
,GTSF1L,
,MADCAM1,
,CD7,
,DEF8,
,FBXO46,
,GPBP1,
,MSL2,
,MALT1,
,PITPNM1,
,ZNF253,
,CENPC,
,GAB3,
,IRAK4,
,MIOS,
,MBNL1,
,ZNF230,
,KIF2A,
,TIMD4,
,CLDN16,
,ZBP1,
,CDK9,
,PHYKPL,
,CEP120,
,LINC00921,
,ANKRD33B,
,TOX,
,SETX,
,GIMAP4,
,ABI3,
,SP140L,
,ATAD2B,
,COX19,
,BICDL1,
,ZNF92,
,NECAP2,
,ZNF75D,
,CNOT8,
,NOSIP,
,CTCF,
,RSBN1,
,ANKRD29,
,CFLAR,
,SEMA4A,
,ZNF143,
,ZNF430,
,KDM4C,
,CDX1,
,CNN2,
,TRIM38,
,MTERF4,
,LINC00892,
,ANAPC16,
,DNASE1L3,
,ZFAND4,
,UBTF,
,ACSF3,
,PSMB8-AS1,
,PRDM2,
,SLC22A3,
,REST,
,CD53,
,LSM6,
,VAMP1,
,ZNF136,
,USP30-AS1,
,APOBEC3D,
,SYNE1,
,IL23A,
,ARID4A,
,ADRA2A,
,ACY3,
,SLC25A53,
,TCF3,
,FGD6,
,COL4A4,
,NFYB,
,ZNF44,
,SLC25A25-AS1,
,EMBP1,
,KDM2B,
,ZNF551,
,USPL1,
,RNF166,
,PNRC2,
,POC5,
,PDE6B,
,ARID4B,
,VHL,
,TACC3,
,HMGN1,
,GRB2,
,ZBTB1,
,TRAPPC2,
,HNRNPH1,
,TANK,
,CTRL,
,PSME3IP1,
,IST1,
,FAM110A,
,ZNF791,
,SLC12A6,
,SYT15,
,ANO9,
,EML4,
,BCAS4,
,PPP6R1,
,USF1,
,CEP135,
,CTBP1,
,ZNF211,
,TTC7A,
,MATN1-AS1,
,CHTF8,
,RSBN1L,
,SH3BP2,
,LYSMD2,
,RINL,
,SCAF11,
,LAT,
,HNRNPL,
,MEF2C,
,CDC40,
,PPWD1,
,OSTF1,
,DGKD,
,KLHDC4,
,HECA,
,IKZF2,
,ANKRD65,
,ZNF41,
,USP3,
,WDR89,
,ZNF366,
,TEP1,
,ZNF671,
,TAPT1-AS1,
,PIM2,
,AMPD3,
,ANKMY1,
,FERMT3,
,ZNF490,
,ABHD18,
,SPN,
,STK26,
,LAPTM5,
,ANKRD12,
,MYCBP2,
,LINC03034,
,IL2RB,
,FAM78A,
,ADCY7,
,CD80,
,ZNF506,
,CHD2,
,ANKRD55,
,ZNF100,
,IRF3,
,ZBTB6,
,ZNF709,
,PLEKHF2,
,MIR4645,
,ABCA7,
,APOBEC3F,
,SNX2,
,CCM2,
,PGGT1B,
,CCDC12,
,IER2,
,TYK2,
,SHOC2,
,ZNF764,
,PIAS1,
,ARID5A,
,FYB1,
,PPP4R3A,
,UNKL,
,LARGE2,
,TNIP2,
,STYX,
,LOC100130744,
,CASP4LP,
,RUFY4,
,SP110,
,RBM14,
,MED18,
,CCND3,
,LRCH4,
,TRG-AS1,
,RFX5,
,ZNF335,
,HHEX,
,TP53,
,CD1D,
,MPEG1,
,JAML,
,CASP8,
,FAM107B,
,NIPBL,
,PCSK7,
,SF1,
,CCDC65,
,KMT2B,
,APBA3,
,SSH2,
,CXCL13,
,SENP1,
,TRAPPC14,
,MIR3939,
,TRAV8-6,
,MRFAP1L1,
,KLHL36,
,P2RY13,
,CDC42SE1,
,ACTB,
,MITD1,
,SLX4,
,SIPA1L3,
,CD83,
,ZNF169,
,SLC7A6,
,TBC1D9,
,RNGTT,
,CCDC32,
,RAB30,
,FMNL3,
,HDAC3,
,ZNF383,
,ZNF493,
,HDAC7,
,C10orf143,
,ZNF235,
,FBXO38,
,ZNF626,
,ZBED5,
,ARRDC2,
,SGPP1,
,MAT2B,
,TRERF1,
,TCP11L2,
,TENT2,
,RAB8B,
,UNC119,
,BCDIN3D,
,SLC38A1,
,ARPC3,
,UNC93B1,
,DIAPH1,
,CISH,
,CREB1,
,RBMX,
,ARID1A,
,NLRP2,
,RBM22,
,PFN1,
,ZNF180,
,ATPAF2,
,PTP4A2,
,UBA7,
,NUBP1,
,ATXN7L3,
,GMFG,
,VASP,
,TMSB4X,
,ZBTB49,
,CNOT3,
,CERKL,
,CASP3,
,ARHGEF6,
,CR1,
,CWF19L2,
,HCP5,
,STK17A,
,PARM1,
,OGA,
,MYBL1,
,NSD1,
,PIK3AP1,
,TRAF5,
,MBD2,
,SS18L2,
,LOC728743,
,RSPRY1,
,CEP85L,
,C1RL-AS1,
,ZNF138,
,MTF2,
,ZNF33A,
,DENND4B,
,TRMO,
,TNFRSF10A,
,ING3,
,NOP14,
,PPP1R18,
,TSPAN33,
,RICTOR,
,ISCU,
,TNFRSF4,
,TMEM170A,
,ZNF487,
,INPP5B,
,ZNF429,
,ZNF776,
,OTULIN,
,SAMD9,
,MAP3K14-AS1,
,CWC25,
,CAPZA1,
,CSNK1G2,
,VSIR,
,BICRAL,
,NCOA5,
,NPAT,
,PLCB2,
,TRAV13-1,
,DCLRE1C,
,MED26,
,BOD1L1,
,ZNF548,
,ZC3H18,
,SEPTIN6,
,ACTR3,
,IRF5,
,PBX2,
,CCND2,
,BRD2,
,NOP53,
,ANAPC2,
,PTPN18,
,SLTM,
,PTBP3,
,PREX1,
,PRPF38B,
,MIDEAS,
,MED11,
,DNM2,
,SKAP1,
,PRPSAP2,
,DEDD2,
,SLC25A38,
,EHBP1L1,
,WIPF1,
,KLHL3,
,UBE2J1,
,ELF4,
,TTC12,
,TNFRSF10A-DT,
,ELF2,
,ZNF800,
,MARCHF1,
,TRABD,
,KMT2A,
,ZNF43,
,DGKE,
,ATM,
,MDM4,
,E2F5,
,ZNF564,
,STK40,
,NFATC2IP,
,ZNF740,
,RPIA,
,RHOG,
,RAD17,
,SYNGR2,
,MARF1,
,BCL7A,
,NUP88,
,BUD13,
,MAML1,
,TARP,
,OGG1,
,FBXW7,
,MTMR14,
,CLASRP,
,MIGA2,
,ELF1,
,ZNF226,
,TRIM52,
,PTMA,
,ZNF18,
,ZAP70,
,ST3GAL2,
,USP24,
,ZNF266,
,PDCL3P4,
,MARCHF8,
,SETD2,
,CAMK2G,
,GLYR1,
,DCP2,
,SELP,
,CCDC97,
,PATL2,
,SLC2A6,
,CTDSPL2,
,ZFP62,
,PPP1CC,
,BIN1,
,CYP27B1,
,OGT,
,INSM1,
,PMS2P1,
,CAB39,
,ZNF227,
,TRAFD1,
,ZCCHC10,
,BLOC1S4,
,ZNF346,
,SETD1B,
,HCG26,
,STX18,
,CMTR2,
,ALKBH1,
,PHC3,
,UPF1,
,SPOP,
,RBM26,
,CRTC2,
,IL16,
,JAK1,
,HNRNPA1L2,
,ZNF701,
,CASS4,
,PPP1CA,
,TRAV12-2,
,FPGS,
,CYB561D1,
,HIP1R,
,ACTR2,
,RBM10,
,GIMAP6,
,DENND11,
,ARHGEF3,
,ZNF563,
,HNRNPA0,
,MON1B,
,BTAF1,
,NKAPP1,
,SCYL3,
,PARP11,
,ETS1,
,SMARCA2,
,USP7,
,ZNF525,
,ALKBH8,
,RMND5B,
,FOXO1,
,PAPLN,
,GZMK,
,NFKBIE,
,ZNF816,
,TNFSF8,
,UTP3,
,ZNF839,
,HNRNPD,
,MIXL1,
,NUDT16L1,
,RAP1A,
,GLCCI1,
,ZFP14,
,MYB,
,KDM3B,
,CCNK,
,RELT,
,SNX29,
,CD226,
,ZBTB44,
,ARAF,
,SLC25A46,
,CARD8,
,L3MBTL3,
,VRK3,
,MED6,
,TRABD2A,
,TCERG1L,
,C9orf78,
,NBEAL2,
,GRIPAP1,
,AVL9,
,ARRDC1-AS1,
,MYBL2,
,OSBPL11,
,VAV2,
,SHLD1,
,ZCCHC18,
,PLEKHO1,
,CXorf38,
,CYFIP2,
,MCL1,
,RBM5,
,SUB1,
,UBR7,
,RASA2,
,ADAMDEC1,
,HIVEP2,
,SRSF3,
,APAF1,
,CD1E,
,AP5M1,
,KMT2E,
,DDX28,
,SLBP,
,HNRNPDL,
,SRSF9,
,CDV3,
,SAFB2,
,BRI3BP,
,MARK2,
,ZNF830,
,YTHDC2,
,TSPOAP1,
,R3HDM4,
,SLC9A9,
,SRSF10,
,TRIM41,
,FOXP1,
,POLM,
,NFKB2,
,TC2N,
,LOC729683,
,NLRP4,
,MXD3,
,SIMC1P1,
,CHTOP,
,DCAF5,
,PABIR1,
,GPCPD1,
,PSMA3-AS1,
,MTHFSD,
,PARP1,
,ZNF207,
,FGFR1OP2,
,HERC3,
,TRIM59,
,LAMP5,
,WDR33,
,TADA2A,
,LINC00938,
,ZNF763,
,ERICH1,
,CEP295,
,CTSH,
,RPRD1B,
,ZNF765,
,SNAP23,
,BMP2K,
,STK11,
,HNRNPK,
,ARL14EP,
,SATB1,
,DEPDC5,
,ATF7IP,
,PMS2P5,
,BCL9L,
,CH25H,
,MIR3142,
,PUS7L,
,NOA1,
,GET4,
,ING1,
,XPA,
,ERP29,
,ABCD2,
,ZBED10P,
,CMAHP,
,ZNF91,
,GIN1,
,AP1G1,
,ZNF573,
,IL33,
,GABPB1,
,CUL3,
,REPIN1,
,EDC4,
,NUDT21,
,PRKCH,
,HAUS8,
,ZNF655,
,LOC100129034,
,CBL,
,JMJD1C,
,CMIP,
,TUT4,
,WAPL,
,LY86,
,INO80E,
,ZNF510,
,UBLCP1,
,HAUS3,
,ZNF814,
,ZNF468,
,ZNF681,
,MAP2K4,
,PPP1R12A,
,METTL18,
,ITGA4,
,LFNG,
,RAB35,
,CDK14,
,ZNF486,
,VRK1,
,PNPLA7,
,RBM27,
,U2AF2,
,CCDC66,
,ZNF318,
,RIC3,
,ZNF736,
,SZT2,
,ZBTB48,
,INIP,
,NOG,
,CTLA4,
,DCAF12,
,CNR1,
,AP1G2,
,AFTPH,
,ZBTB11,
,LINGO1,
,ZNF76,
,NRIP2,
,ZNF224,
,MAX,
,FAM13B,
,PHKG2,
,TNK2,
,ARL4C,
,E2F4,
,PPP6C,
,ZNF431,
,BAG5,
,LSP1,
,ZFC3H1,
,MRPS31,
,HDAC1,
,ZNF417,
,ZNF862,
,ZNF263,
,DAXX,
,ZNF480,
,CDKN1B,
,EXOSC9,
,COX18,
,RPA2,
,ABCA11P,
,PHF6,
,ZNRF2,
,LCNL1,
,PLEKHG2,
,KLF13,
,PHF11,
,SPPL2B,
,SMCHD1,
,BIK,
,CWF19L1,
,RFX1,
,RNPC3,
,COTL1,
,TAF15,
,SP3,
,PRMT1,
,SDHAF1,
,CXCR4,
,PAN3,
,XAB2,
,WDR82,
,LARP7,
,ARID3B,
,MCUB,
,ZMAT2,
,RANBP3,
,HEIH,
,HNRNPC,
,SRP72,
,CUTC,
,ZNF319,
,RSRC2,
,SH2B1,
,PAPOLA,
,ZBTB40,
,MYO15B,
,TENT4B,
,SRRT,
,ZNF592,
,FAM193B,
,PWWP2A,
,CBX5,
,WTAP,
,ACOX3,
,TRMT44,
,AIP,
,DCAF15,
,BRD7,
,SPDYE3,
,MUS81,
,ZNF786,
,PRR13,
,RBM8A,
,THUMPD1,
,RAP2C,
,POP4,
,CNOT1,
,ZFP90,
,CIRBP,
,EIF4E,
,ICOSLG,
,SERPINB9,
,SLFN13,
,KPNA5,
,SUPT20H,
,LINC02067,
,IK,
,TRAPPC10,
,MTHFR,
,MRTFA,
,ABT1,
,TRA2A,
,ZDHHC17,
,AKAP13,
,SHKBP1,
,SIPA1L1,
,TFEC,
,C12orf43,
,NELFB,
,GMEB1,
,SLC10A7,
,USP38,
,RPL36AL,
,C2CD5,
,MTA2,
,MRNIP,
,ZNF561,
,FDCSP,
,ZNF571,
,BCL7B,
,PPIG,
,CXXC1,
,XPO6,
,ANKZF1,
,DDHD1,
,HERC1,
,MIR3916,
,LRBA,
,EME2,
,CUL9,
,ZNF540,
,SPEN,
,STIM2,
,INTS15,
,DELE1,
,ADAMTS10,
,TSPAN32,
,USP28,
,TGIF2,
,ANKRD13D,
,DDX39A,
,DTX2,
,ZMIZ2,
,TNIP1,
,NAA40,
,ZMYM6,
,CCAR1,
,SNX11,
,BET1L,
,ARGLU1,
,MYPOP,
,EVI2A,
,PLCH2,
,SART3,
,RPL34,
,SUZ12,
,ZNF818P,
,GPR65,
,HARS2,
,TRIM14,
,ARPC2,
,MED13L,
,INTS6L,
,KDM2A,
,OGFOD2,
,SUGP1,
,LCP1,
,SMARCE1,
,SECISBP2,
,ZNF527,
,RUFY1,
,KDM6A,
,PPM1J,
,MATR3,
,USP10,
,SRCAP,
,RANBP6,
,TOR3A,
,ZNF600,
,MIR3667HG,
,HNRNPA2B1,
,GATC,
,MRPL20-AS1,
,WHAMM,
,PHF8,
,KAT6B,
,DDX50,
,TLR1,
,ANP32B,
,TMEM259,
,CFP,
,IL18R1,
,METTL25,
,BTG1,
,AKAP8,
,KDM7A,
,ZNF304,
,SIRT7,
,ZNF394,
,PARP16,
,MIF4GD,
,SREK1IP1,
,ZRSR2,
,IRF7,
,OSGEP,
,NADSYN1,
,HCFC1,
,POU2AF3,
,SSBP2,
,KBTBD7,
,TLE5,
,NSUN5,
,PLEKHJ1,
,NCK1,
,KRBOX5,
,RPL23AP64,
,UBE2D3,
,LSM8,
,AASDH,
,KIAA1549L,
,TERF2IP,
,RNASE6,
,PRDM10,
,CASP2,
,GSAP,
,COL26A1,
,BORA,
,LYRM1,
,ZNF256,
,SORL1,
,LILRB1,
,TMC6,
,ZNF414,
,NADK,
,GPA33,
,NSMCE4A,
,RAVER1,
,MRFAP1L2,
,PEX16,
,PUS10,
